instance_number;threshold;sigma;mu;horizontal multiplyer;horizontal shift;vertical multiplyer;vertical shift;mean absolute error;bad_fit_flag
1.0;1.5;1.2124284241325667;0.7114068170512172;0.04072466159936835;0.021326099454192234;81.91080235944199;6.30398103342096;1.2335991520913037;0.0
1.0;1.45;1.4807025778438756;0.2616672481209656;0.01245385181823909;0.0026747620053061984;34.34568185171365;1.9852634417224446;1.6132550385578133;0.0
1.0;1.4;0.8340611364111157;0.8603385129697283;0.09060335586343062;-0.0906032690785214;26.85008295047239;7.158717551778504;1.3828815798206204;0.0
1.0;1.35;2.963922633759866;0.8166961012722357;0.044812748318973944;-0.4481274297590529;14.474851571079853;3.1075265424674696;1.0532133340276844;1.0
2.0;1.5;5.783896177632057;6.451940266850562;1.5589504904084855e-13;1.7100622595062908e-13;0.2750495560095255;-494.54463674585116;1.356353685828115;0.0
2.0;1.45;1.2888422862501512;-0.5783467765374128;0.008580109633703205;0.00952516485979614;35.60595299614529;4.012862833046857;1.5993870886645531;0.0
2.0;1.4;0.844014001889693;0.7209466569440006;0.06414997112665127;0.17650448525687365;75.60673651974597;11.738376567198186;1.5708374642313485;0.0
2.0;1.35;1.2482945098966003;0.22717000550505115;0.021942951265630173;-0.0011826757052767146;31.297072121163712;4.118888372891543;1.6811282469050604;0.0
3.0;1.5;6.9860336246283685;8.309661093020264;2.135653904694157e-19;2.5404459105267315e-19;0.0014134562311939143;-734.966761754978;1.0223168865340293;0.0
3.0;1.45;1.0117305055712045;0.5447322509265444;0.04814639410107563;0.05961658559127036;81.72007069737124;14.340890482381313;1.4168933904160106;0.0
3.0;1.4;1.203152797751047;-0.6999655200821586;0.011698888203576303;-0.010852589427641586;14.3938323241454;11.654386642638238;1.4281507136201217;0.0
3.0;1.35;1.6554063558030523;0.5436722175401935;0.007687980535925452;0.009102976128158006;44.41457128589801;-6.364449068518532;1.629766095341256;0.0
4.0;1.5;;;;;;;;1.0
4.0;1.45;4.570170292518481;3.460142371089282;2.2883190651129938e-09;3.0507581946869533e-09;3.62089778999807;-280.00336556883383;0.9231899981625352;0.0
4.0;1.4;6.547524166956601;8.328129958386103;8.859614028124001e-17;7.323398503035232e-17;0.02598222274917318;-725.5319795737591;1.3321129047147386;0.0
4.0;1.35;1.3126727994457141;0.07806303656728791;0.016199905276365015;0.004244854036761033;57.82838737108966;4.153746879675312;1.63779576546008;0.0
5.0;1.5;5.636991455549965;4.473793122965;1.3761274544216816e-13;8.382421815690782e-14;0.09344095602237416;-536.0531077054161;1.1076875763647744;0.0
